longitude,latitude,sst_ref,NDVI_ref,EVI_ref,LST_day_ref,t2m_anomaly_ref,ET_ref,precipitation_ref,precip_anomaly_ref,sst_fin,NDVI_fin,EVI_fin,LST_day_fin,t2m_anomaly_fin,ET_fin,precipitation_fin,precip_anomaly_fin,diff_sst,diff_NDVI,diff_EVI,diff_LST_day,diff_t2m_anomaly,diff_ET,diff_precipitation,diff_precip_anomaly
-118.46532820836146,14.485324284098915,28.038528487850705,,,,,,,,27.27905006950096,,,,,,,,-0.7594784183497438,,,,,,,
-118.2407493873282,14.485324284100924,28.04324844971574,,,,,,,,27.30127180249676,,,,,,,,-0.7419766472189799,,,,,,,
-118.01617056629868,14.485324284100107,28.047372947041488,,,,,,,,27.325849530246646,,,,,,,,-0.7215234167948417,,,,,,,
-117.79159174527284,14.48532428409878,28.052721234431537,,,,,,,,27.35357215144144,,,,,,,,-0.6991490829900968,,,,,,,
-117.56701292423897,14.48532428410121,28.059583519003468,,,,,,,,27.38765922582977,,,,,,,,-0.6719242931736993,,,,,,,
-117.34243410321284,14.485324284099445,28.06326985445285,,,,,,,,27.41215603611432,,,,,,,,-0.6511138183385299,,,,,,,
-117.11785528218176,14.485324284098017,28.067798012612258,,,,,,,,27.42850752521533,,,,,,,,-0.6392904873969272,,,,,,,
-116.89327646115473,14.485324284100338,28.069922083649207,,,,,,,,27.442823915666843,,,,,,,,-0.6270981679823642,,,,,,,
-87.92260854830033,14.485324284099786,,0.7794710960643247,0.4370678133123749,297.5234716524764,0.5716852172273589,,1180.3735235333445,-200.1219915320476,,0.7640414122483518,0.4123447554561388,296.0818075448616,1.481386651414335,1389.0994800798,1297.4771765470505,-83.01833851834135,,-0.015429683815972983,-0.024723057856236075,-1.4416641076148267,0.9097014341869761,,117.10365301370598,117.10365301370624
-87.69802972726373,14.485324284100928,,0.5160678798137955,0.3339748261894682,306.7432861704094,0.6773744685462183,,952.3460119366646,-217.1565231343111,,0.6353814944682904,0.3877703705942806,303.6730053007402,1.2199250705668396,908.8427120488476,1040.4075824022293,-129.09495266874637,,0.11931361465449486,0.05379554440481238,-3.0702808696692045,0.5425506020206213,,88.06157046556473,88.06157046556473
-87.47345090623793,14.48532428410047,,0.7718658726800068,0.4670552808173624,293.622961087798,0.6230059179800828,,972.1694619655608,-233.63305605153232,,0.783008929327126,0.4418631461217573,294.08264454443287,1.325115124102734,1468.337639804122,1061.175200998783,-144.62731701831012,,0.01114305664711912,-0.025192134695605106,0.45968345663487753,0.7021092061226512,,89.00573903322231,89.0057390332222
