year,longitude,latitude,ONI,sst,chlor_a,t2m_anomaly,loss_anual,loss_acum,treecover2000,gHM,fire_count,NDVI,EVI,LST_day,ET,precipitation,precip_anomaly,precip_extreme_days,NO2,NO2_source,CO,CO_source,SO2,SO2_source,cluster,gi_z,gi_p,hotspot_gi,coldspot_gi,multi_stress,region_analisis
2023,-118.46532820836146,14.48532428409942,1.2,27.40362553784833,,,,,0.0,,,,,,,,,,5.8077977479288784e-06,S5P,0.0266932881983237,S5P,1.540506381318487e-05,S5P,,,,,,,
2023,-118.2407493873318,14.485324284100924,1.2,27.40511667398144,,,,,0.0,,,,,,,,,,5.235816306213874e-06,S5P,0.0269823271259442,S5P,4.355129210264077e-06,S5P,,,,,,,
2023,-118.01617056629868,14.485324284100107,1.2,27.40652339128479,,,,,0.0,,,,,,,,,,5.130975588627529e-06,S5P,0.0266576278837762,S5P,3.387342878633449e-05,S5P,,,,,,,
2023,-117.79159174527284,14.48532428409878,1.2,27.410166322975723,,,,,0.0,,,,,,,,,,5.493315131512687e-06,S5P,0.0268304132591555,S5P,4.587942734230685e-06,S5P,,,,,,,
2023,-117.56701292423897,14.48532428410121,1.2,27.42545279114158,,,,,0.0,,,,,,,,,,5.539962987699939e-06,S5P,0.0268457945909778,S5P,2.762197873372888e-05,S5P,,,,,,,
2023,-117.34243410321288,14.4853242840992,1.2,27.457885665357,,,,,0.0,,,,,,,,,,5.409535971967466e-06,S5P,0.0264841185678254,S5P,3.421366596521569e-05,S5P,,,,,,,
2023,-117.11785528218176,14.485324284098017,1.2,27.49968692343391,,,,,0.0,,,,,,,,,,5.619442250355545e-06,S5P,0.0268256757509854,S5P,5.450461695253178e-06,S5P,,,,,,,
2023,-116.89327646115473,14.485324284100338,1.2,27.54232471341003,,,,,0.0,,,,,,,,,,4.816555520360613e-06,S5P,0.0274883039118885,S5P,1.6605832510112952e-05,S5P,,,,,,,
2023,-87.92260854829628,14.485324284097842,1.2,,,1.309439885883204,0.0051546391752577,0.0586279380852283,75.35127078157839,0.2932592678384436,1.2249093107617897,0.7630298410011479,0.4604519255184083,296.9414282922588,1372.8470044132746,1222.8224983215332,-157.67301674385862,1.0,9.515182152122109e-06,S5P,0.0246723577609501,S5P,1.6246862100300544e-05,S5P,1.0,-1.0559983980502827,0.001,False,False,-3.7728961339947378,Otras Regiones
2023,-87.69802972726917,14.485324284097956,1.2,,,1.130177785329807,0.0492040520984081,0.009745843684311,14.964303458819026,0.4562551627548887,1.40560593569662,0.5919938516413752,0.3811591499909313,305.1118891826428,828.1761622634657,1060.2662761807442,-109.23625889023153,2.0,1.7273150769127135e-05,S5P,0.0277764466726382,S5P,5.018279914892092e-06,S5P,1.0,-1.0736120871387942,0.001,False,False,-0.802998844177187,Otras Regiones
2023,-87.47345090623793,14.48532428410047,1.2,,,1.0523638907197943,0.0018985625169514,0.2245365946875596,88.09115230269438,0.1616507560327953,1.224141749723145,0.8272647905205244,0.5025720452209654,294.2131276985588,1448.8346472401895,1078.6902701854706,-127.11224783162264,3.0,9.28027637289541e-06,S5P,0.0239710451034247,S5P,4.051384828673389e-05,S5P,1.0,-1.1272018969665296,0.001,False,False,-5.215451812426306,Otras Regiones
2023,-87.24887208520617,14.485324284098755,1.2,,,0.9359647669587806,0.0060449050086355,0.0049684693292566,18.18635581884196,0.2480399075929005,1.5198555956678692,0.5398215404147266,0.2895594280877815,302.7086009080575,866.5286560667429,946.6871964931488,-110.62685133616128,1.0,1.2775792882396626e-05,S5P,0.0272345033122992,S5P,2.305733463051792e-05,S5P,1.0,-1.1139934353795293,0.001,False,False,-1.928094277066752,Otras Regiones
2023,-87.02429326417561,14.485324284098589,1.2,,,1.0516325150500838,0.006423982869379,0.0799541372061914,25.55547487101088,0.2690053614271818,2.933734200515401,0.6071936279547784,0.3247387582371074,300.85069822307827,923.4167462668512,905.6917626261712,-94.78843678534032,1.0,1.0446406374524776e-05,S5P,0.0269917832435723,S5P,3.787622028889177e-05,S5P,1.0,-1.33660370709745,0.001,False,False,-2.632887419271638,Otras Regiones
