year,gHM_quintil,NDVI,LST_day,precipitation,t2m_anomaly,precip_anomaly
2019,Q1 (prístino),0.24615948642198263,305.9604812786403,363.0602833501087,0.5871551510569926,9.864295159132269
2019,Q2,0.426398610012963,303.06930653752397,636.0292519367274,0.823009652423623,-18.342530634986
2019,Q3,0.5321152084997021,301.9366280657101,871.0255948952438,0.8509274744025517,-48.08153542635895
2019,Q4,0.5758098328221292,300.971436709899,1059.7757772196162,0.7523766357497602,-22.2458263825245
2019,Q5 (muy modificado),0.5418879804066712,303.450774552577,1026.8312308005338,0.7767218220542716,-93.04933045332639
2020,Q1 (prístino),0.2407533155991714,307.51186887273343,290.74689210648893,1.3824991342371986,-62.44909608448757
2020,Q2,0.4208441272512178,304.0997930188531,605.6908786196166,1.2421792861706715,-48.68090395209678
2020,Q3,0.5286910744935067,302.6526998722093,920.6917500982146,1.070053187307485,1.584619776611875
2020,Q4,0.5745849464787152,301.54031409140833,1154.070880651217,0.9265452198793629,72.04927704907628
2020,Q5 (muy modificado),0.5391850845580265,303.7509917591794,1129.4176876015235,0.9582333046427228,9.53712634766318
2021,Q1 (prístino),0.23084735202679418,306.81491800855235,329.7550412232478,0.9654942051700839,-23.4409469677287
2021,Q2,0.40817142453677996,303.5453985932455,629.0738324693973,0.8290000096848574,-25.297950102316122
2021,Q3,0.5221403774971802,302.0237955526513,911.2931022697484,0.6718467450483614,-7.814028051854317
2021,Q4,0.5731539988100461,300.8389466936746,1131.6912503447204,0.48917644274421074,49.66964674257974
2021,Q5 (muy modificado),0.5423800941302839,303.0624501457118,1177.044679377237,0.5414777562771161,57.16411812337655
2022,Q1 (prístino),0.22968928947550948,306.01694978188726,342.1269482850775,0.5197281423870747,-11.069039905898954
2022,Q2,0.3982866363954101,303.35007309786477,620.573802881252,0.624052526619103,-33.79797969046138
2022,Q3,0.5071738301144938,302.0754039936239,883.4952845724813,0.6144049624322265,-35.61184574912141
2022,Q4,0.5495413753483979,301.0979014356049,1045.151860131417,0.5394920000913973,-36.869743470723805
2022,Q5 (muy modificado),0.5199387588339354,303.253617288512,1066.6106254971032,0.49987792027679795,-53.26993575675698
2023,Q1 (prístino),0.2405805856745502,305.8593327851027,275.74645678515043,1.1531596085354217,-77.4495314058261
2023,Q2,0.40536155801608503,303.4911071734436,515.3708273251058,1.5190016663282382,-139.0009552466076
2023,Q3,0.5118805278995393,302.1933662120576,761.7148269974145,1.4666970626297304,-157.39230332418816
2023,Q4,0.5587838350029262,301.2163636956535,932.0681952318297,1.4124243745868355,-149.953408370311
2023,Q5 (muy modificado),0.5278864792252488,303.26393639092294,951.6008031893721,1.3841298551461696,-168.27975806448828
2024,Q1 (prístino),0.23228711868144605,305.13851937372607,285.3265289640016,1.4238940446177906,-67.86945922697485
2024,Q2,0.4137125245559818,302.43077117664075,608.9749857754462,1.5990121987446322,-45.39679679626718
2024,Q3,0.5229980740467506,301.19033782096426,943.3406313157128,1.5241704666838027,24.23350099411018
2024,Q4,0.5747301715673576,300.21553800059826,1157.4051773159335,1.4334116057332829,75.3835737137928
2024,Q5 (muy modificado),0.5429102022192676,302.27815449053907,1226.0906787562349,1.450688990478082,106.21011750237463
