longitude,latitude,LST_day,NDVI,NO2,t2m_anomaly,gHM,fire_count,precipitation,SO2,CO,z_LST,z_NDVI,z_NO2,multi_stress,gi_z,gi_p,hotspot_gi,z_t2m
-87.92260854829628,14.485324284097842,296.9414282922588,0.7630298410011479,9.515182152122109e-06,1.309439885883204,0.2932592678384436,1.2249093107617897,1222.8224983215332,1.6246862100300544e-05,0.0246723577609501,-1.3997483892655007,1.4008849716020437,-0.802562501184042,-3.7728961339947378,-1.0559983980502827,0.001,False,-0.1697002719431512
-87.69802972726917,14.485324284097956,305.1118891826428,0.5919938516413752,1.7273150769127135e-05,1.130177785329807,0.4562551627548887,1.40560593569662,1060.2662761807442,5.018279914892092e-06,0.0277764466726382,0.43057351028698215,0.634240863076145,-0.06622691360819646,-0.802998844177187,-1.0736120871387942,0.001,False,-0.5331045777798277
-87.47345090623793,14.48532428410047,294.2131276985588,0.8272647905205244,9.28027637289541e-06,1.0523638907197943,0.1616507560327953,1.224141749723145,1078.6902701854706,4.051384828673389e-05,0.0239710451034247,-2.010934023981446,1.6888088512184054,-0.8248582197556168,-5.215451812426306,-1.1272018969665296,0.001,False,-0.6908507174708372
-87.24887208520617,14.485324284098755,302.7086009080575,0.5398215404147266,1.2775792882396626e-05,0.9359647669587806,0.2480399075929005,1.5198555956678692,946.6871964931488,2.305733463051792e-05,0.0272345033122992,-0.10780384919443994,0.40038601662067114,-0.49308667877994666,-1.928094277066752,-1.1139934353795293,0.001,False,-0.9268177324716943
-87.02429326417561,14.485324284098589,300.85069822307827,0.6071936279547784,1.0446406374524776e-05,1.0516325150500838,0.2690053614271818,2.933734200515401,905.6917626261712,3.787622028889177e-05,0.0269917832435723,-0.5240055809176871,0.7023716641151618,-0.7141767949742068,-2.632887419271638,-1.33660370709745,0.001,False,-0.692333379264582
-86.79971444315048,14.485324284098557,300.295855075104,0.6505992261652858,1.0812263915306654e-05,0.9039470840536756,0.2434649983481833,1.824606821564948,982.201627790928,2.336680788880632e-05,0.0274065123228007,-0.6482998622536619,0.8969309862185972,-0.6794519925729465,-3.216407566097647,-1.4399216241868031,0.001,False,-0.9917247250524416
-86.57513562211913,14.485324284100036,298.71786301456,0.7497706305543794,1.042180174032856e-05,0.8049373907184036,0.2269466697799528,1.4496811478676763,1064.6875982284546,-2.490991300019133e-06,0.0269113538545892,-1.0017968637671038,1.341452476658901,-0.7165121057588171,-4.25220092782291,-1.3628858372908643,0.001,False,-1.1924394816380879
-92.18960614829362,14.70990292696355,306.97831582178725,0.7163935857945273,1.822794471169887e-05,1.615180342200124,0.7630160242921138,4.952634880803011,1794.7808318715545,0.0002002446642803,0.0326435845582789,0.8486847524024375,1.1918446963260667,0.024395876122658342,0.13133983498685187,-1.4510563080080028,0.001,False,0.45010390278782275
-91.96502732726536,14.709902926962783,303.93250598272755,0.7706014797366664,2.1639693052336343e-05,1.054778413754702,0.4502579095952038,1.1749049429657794,2219.499172717333,0.0002869948069922,0.0321832334808476,0.16637165830703332,1.434823748172988,0.3482166909629798,-1.6061913390353866,-1.599344651625574,0.001,False,-0.6859559401324118
-91.74044850623874,14.709902926968,299.1834838744787,0.8105098387389009,1.7834595425600405e-05,0.5631657805405147,0.4364408930413575,,2567.538915038109,0.0003546837307592,0.0285110610370717,-0.897489889138451,1.6137072008575704,-0.012938262748048731,-4.2066998741785095,-1.7737113021680078,0.001,False,-1.6825645214344396
-91.51586968520328,14.709902926965626,294.8077784196391,0.8234128948480999,1.1809483157925328e-05,0.6946873290120218,0.432942462326184,52.95969945355192,2038.9402949213984,0.0003322886379533,0.0239375280780207,-1.877722170699236,1.6715432854449412,-0.5848024711317225,-5.550008902086127,-1.9264394135938265,0.001,False,-1.4159409748102274
-91.29129086417416,14.709902926963167,296.51562195676235,0.673455671317267,1.4156051432064426e-05,0.792889288017998,0.4204609568286184,,1407.855638295412,0.0001149852522415,0.0243897036984075,-1.4951362347351045,0.999381698979131,-0.36208157417711556,-4.073463183963028,-1.9247822858463801,0.001,False,-1.2168636760716778
